mandt,vbeln,posnr,uepos,fkimg,vrkme,umvkz,umvkn,meins,smeng,fklmg,lmeng,ntgew,brgew,gewei,volum,voleh,gsber,prsdt,fbuda,kursk,netwr,vbelv,posnv,vgbel,vgpos,vgtyp,aubel,aupos,auref,matnr,arktx,pmatn,charg,matkl,pstyv,posar,prodh,vstel,atpkz,spart,pospa,werks,aland,wkreg,wkcou,wkcty,taxm1,taxm2,taxm3,taxm4,taxm5,taxm6,taxm7,taxm8,taxm9,kowrr,prsfd,sktof,skfbp,kondm,ktgrm,kostl,bonus,provg,eannr,vkgrp,vkbur,spara,shkzg,ernam,erdat,erzet,bwtar,lgort,stafo,wavwr,kzwi1,kzwi2,kzwi3,kzwi4,kzwi5,kzwi6,stcur,uvprs,uvall,ean11,prctr,kvgr1,kvgr2,kvgr3,kvgr4,kvgr5,mvgr1,mvgr2,mvgr3,mvgr4,mvgr5,matwa,bonba,kokrs,paobjnr,ps_psp_pnr,aufnr,txjcd,cmpre,cmpnt,cuobj,cuobj_ch,koupd,uecha,xchar,abrvw,sernr,bzirk_auft,kdgrp_auft,konda_auft,lland_auft,mprok,pltyp_auft,regio_auft,vkorg_auft,vtweg_auft,abrbg,prosa,uepvw,autyp,stadat,fplnr,fpltr,aktnr,knuma_pi,knuma_ag,prefe,mwsbp,augru_auft,fareg,upmat,ukonm,cmpre_flt,abfor,abges,j_1arfz,j_1aregio,j_1agicd,j_1adtyp,j_1atxrel,j_1bcfop,j_1btaxlw1,j_1btaxlw2,j_1btxsdc,brtwr,wktnr,wktps,rplnr,kursk_dat,wgru1,wgru2,kdkg1,kdkg2,kdkg3,kdkg4,kdkg5,vkaus,j_1aindxp,j_1aidatep,kzfme,mwskz,vertt,vertn,sgtxt,delco,bemot,rrrel,akkur,wminr,vgbel_ex,vgpos_ex,logsys,vgtyp_ex,j_1btaxlw3,j_1btaxlw4,j_1btaxlw5,msr_id,msr_refund_code,msr_ret_reason,nrab_knumh,nrab_value,dispute_case,fund_usage_item,farr_reltype,claims_taxation,kurrf_dat_orig,vgtyp_ext,sgt_rcat,sgt_scat,glo_log_ref1_it,aufpl,aplzl,dpcnr,dcpnr,dpnrb,perop_beg,perop_end,fonds,fistl,fkber,grant_nbr,prs_work_period,pprctr,pargb,aufpl_oaa,aplzl_oaa,campaign,compreas,zznonretitem,zzactpp,zzqrpacct,zzcommodity_id,zzkatr6,zzwi9,zzwcfc_prfrzflag,zzlowprcflag,zziaddenda1,zziaddenda2,zziaddenda3,zziaddenda4,zziaddenda5,zzwi7,zzwi8,zzmxtaxind
200,8902279945,10,0,1,EA,1,1,EA,0,1,1,261.0,261.0,LB,52141.69,IN3,,45563,45563,1,1614.94,,0,6591422618,10,J,1483351216,10,,1WBW6,"Weatherhood,60In Bl,Galv Steel,66 1/4In",,,C1,ZS,,10120207603806,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292268518518519,,1,,534.25,0,1374.47,0,240.47,104.46,240.47,1,,,,2004,,,,,,,PPA,X,,,1WBW6,0,1000,1499358231,0,,NV8970600,1719.4,X,0,0,,0,,T,,,,,US,,,NV,300,10,,,,C,,,0,,,,,104.46,,,,,1719.4,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,D,,0,,,,,,,,0,0,
200,8902279946,10,0,1,EA,1,1,EA,0,1,1,408.0,408.0,LB,77539.0,IN3,,45563,45563,1,2019.53,,0,6591578943,10,J,1483672538,10,,1UBK4,"Bin Cabinet,72""x36""x24"",Gray,0Bns",,,K1,ZS,,10180210226644,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292268518518519,,1,,641.83,0,1719.3,0,300.23,130.67,300.23,1,,,,2004,,,,,,,PPA,X,,,1UBK4,0,1000,1499358233,0,,NV8970600,2150.2,X,0,0,,0,,T,,,,,US,,,NV,300,10,,,,C,,,0,,,,,130.67,,,,,2150.2,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,B,,0,,,,,,,,0,0,
200,8902279947,10,0,1,EA,1,1,EA,0,1,1,532.0,532.0,LB,117925.0,IN3,,45563,45563,1,2886.54,,0,6593071365,10,J,1487288098,10,,1UBJ4,"Bin Cabinet,84""x48""x24"",Gray,0Bns",,,K1,ZS,,10180210226644,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292268518518519,,1,,1001.37,0,2547.8,0,338.74,193.63,338.74,1,,,,2004,,,,,,,PPA,X,,,1UBJ4,0,1000,1499358234,0,,NV8970600,3080.17,X,0,0,,0,,T,,,,,US,,,NV,300,10,,,,C,,,0,,,,,193.63,,,,,3080.17,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,B,,0,,,,,,,,0,0,
200,8902279949,10,0,1,EA,1,1,EA,0,1,1,460.0,460.0,LB,124734.93,IN3,,45563,45563,1,2340.88,,0,6591827639,10,J,1484635532,10,,16V888,"Electric Air Compressor, 5 hp, 2 Stage",,,G4,ZS,,10230222904973,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292326388888889,,1,,1382.92,0,1979.99,0,360.89,0.0,360.89,1,,,,2004,,,,,,,PPA,X,,,16V888,0,1000,1499358236,0,,AK9951500,2340.88,X,0,0,,0,,T,,,,,US,,,AK,300,10,,,,C,,,0,,,,,0.0,,,,,2340.88,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,B,,0,,,,,,,,0,0,
200,8902279950,10,0,1,EA,1,1,EA,0,1,1,593.0,593.0,LB,127387.5,IN3,,45563,45563,1,4313.74,,0,6591993492,10,J,1485003827,10,,16V891,"Electric Air Compressor, 7.5 hp, 2 Stage",,,G4,ZS,,10230222904973,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292326388888889,,1,,2692.42,0,3919.99,0,393.75,0.0,393.75,1,,,,2004,,,,,,,PPA,X,,,16V891,0,1000,1499358237,0,,AK9951500,4313.74,X,0,0,,0,,T,,,,,US,,,AK,300,10,,,,C,,,0,,,,,0.0,,,,,4313.74,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,B,,0,,,,,,,,0,0,
200,8902279952,10,0,1,EA,1,1,EA,0,1,1,257.0,257.0,LB,116296.5,IN3,,45563,45563,1,3402.43,,0,6594967361,10,J,1490796831,10,,13R510,"Jobsite Cabinet,60 in,Tan",,,M1,ZS,,10100206412654,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292418981481481,,1,,1527.93,0,3151.96,0,250.47,299.44,250.47,1,,,,2004,,,,,,,PPA,X,,,13R510,0,1000,1499358239,0,,CA9000400,3701.87,X,0,0,,0,,T,,,,,US,,,CA,300,10,,,,C,,,0,,,,,299.44,,,,,3701.87,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,B,,0,,,,,,,,0,0,
200,8902279953,10,0,1,EA,1,1,EA,0,1,1,969.0,969.0,LB,202633.2,IN3,,45563,45563,1,7040.93,,0,6594176980,10,J,1489704014,10,,16V895,"Electric Air Compressor, 10 hp, 2 Stage",,,G4,ZS,,10230222904973,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292430555555556,,1,,4170.65,0,6524.48,0,516.45,668.76,516.45,1,,,,2004,,,,,,,PPA,X,,,16V895,0,1000,1499358241,0,,CA9024800,7709.69,X,0,0,,0,,T,,,,,US,,,CA,300,10,,,,C,,,0,,,,,668.76,,,,,7709.6900000000005,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,B,,0,,,,,,,,0,0,
200,8902279954,10,0,1,EA,1,1,EA,0,1,1,408.0,408.0,LB,77539.0,IN3,,45563,45563,1,2029.53,,0,6595085311,10,J,1490966497,10,,1UBK4,"Bin Cabinet,72""x36""x24"",Gray,0Bns",,,K1,ZS,,10180210226644,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292430555555556,,1,,641.83,0,1719.3,0,310.23,176.22,310.23,1,,,,2004,,,,,,,PPA,X,,,1UBK4,0,1000,1499358243,0,,CA9024800,2205.75,X,0,0,,0,,T,,,,,US,,,CA,300,10,,,,C,,,0,,,,,176.22,,,,,2205.75,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,B,,0,,,,,,,,0,0,
200,8902279955,10,0,1,EA,1,1,EA,0,1,1,257.0,257.0,LB,116296.5,IN3,,45563,45563,1,3402.43,,0,6593215589,10,J,1487521761,10,,13R510,"Jobsite Cabinet,60 in,Tan",,,M1,ZS,,10100206412654,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292453703703704,,1,,1527.93,0,3151.96,0,250.47,244.28,250.47,1,,,,2004,,,,,,,PPP,X,,,13R510,0,1000,1499385145,0,,CA9212100,3646.71,X,0,0,,0,,T,,,,,US,,,CA,300,10,,,,C,,,0,,,,,244.28,,,,,3646.71,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,B,,0,,,,,,,,0,0,
200,8902279957,10,0,1,EA,1,1,EA,0,1,1,261.0,261.0,LB,52141.69,IN3,,45563,45563,1,1624.94,,0,6593229161,10,J,1487566500,10,,1WBW6,"Weatherhood,60In Bl,Galv Steel,66 1/4In",,,C1,ZS,,10120207603806,004S,,1,10,4,US,CA,,,1,,,,,,,,,,X,X,0,,1,,,,,,4,0,,S_ITCJOBS,45565,0.292476851851852,,1,,534.25,0,1374.47,0,250.47,99.65,250.47,1,,,,2004,,,,,,,PPA,X,,,1WBW6,0,1000,1499385149,0,,CA9301200,1724.59,X,0,0,,0,,T,,,,,US,,,CA,300,10,,,,C,,,0,,,,,99.65,,,,,1724.5900000000001,,0,,,,,,,,,,0,,0,,45565,,,,,,,,T,,,,,,,,,,,0,,,0,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,,,,,,,0,,,0,0,0,,,WP,,D,,0,,,,,,,,0,0,
